,Eg (eV),Comp
3918,0.0,Ce2Ti2O7
3919,0.0,Sr8Fe3N8
3920,0.0,Re3P4
3921,0.0,TiPO4
3922,0.0,SrCd
3923,0.0,NbOsPb
3924,0.0,ZrGeRu
3925,0.0,Y2Ru2O7
3926,0.0,La2Rh7
3927,0.0,Hf4Al3
3928,0.0,Dy2TlCd
3929,0.0,SrNi5As3
3930,0.0,Cr2SbTe
3931,0.0,DyNiSn
3932,0.0,Zn2SnN2
3933,0.0,TiAlAu2
3934,0.0,Dy5Sn3
3935,0.0,Yb2MgS4
3936,0.0,Mg2RhAu
3937,0.0,CeSi2Pt
3938,0.0,NdAu3
3939,0.0,Li3Mo2P5O18
3940,0.0,Tl16O15F17
3941,0.0,DySi2Cu2
3942,0.0,Ga5Pd13
3943,0.0,CeTl3
3944,0.0,Ni3S4
3945,0.0,Sr2MgReO6
3946,0.0,NaLu(Pd3O4)2
3947,0.0,Na2Tl
3948,0.0,Tc3Pd
3949,0.0,Ce3Ta(ClO2)3
3950,0.0,BaAlCu4O7
3951,0.0,CrSiCu2
3952,0.0,Nd4MgRu
3953,0.0,Hf5CuPb3
3954,0.0,Lu2Mn12P7
3955,0.0,DyBiPt
3956,0.0,CrNiAs
3957,0.0,ZrMo3
3958,0.0,Cu4Pd
3959,0.0,Li2Ga
3960,0.0,La3B2N4
3961,0.0,Mg9CuO10
3962,0.0,Au3S
3963,0.0,RbCd13
3964,0.0,TbBa2IrO6
3965,0.0,Cu9O13
3966,0.0,Ni2PO5
3967,0.0,SrV13O18
3968,0.0,NaNi2O3
3969,0.0,Th2CrN3
3970,0.0,Sc5Bi3
3971,0.0,Hf3P3Pd4
3972,0.0,Mg17Al11Pd
3973,0.0,EuZn
3974,0.0,ReRuOs
3975,0.0,Y2Ge5Ir3
3976,0.0,Zr3Ir
3977,0.0,Li4Cu(PO4)2
3978,0.0,Sm2Fe17
3979,0.0,Ni2Mo3N
3980,0.0,Li5Fe2Ni3O10
3981,0.0,NaSi2Pd3
3982,0.0,Y3Ge4
3983,0.0,Mg2AgIr
3984,0.0,ThAl
3985,0.0,NdInAu
3986,0.0,Sc2GaIr
3987,0.0,GdInIr
3988,0.0,GePt2
3989,0.0,LiGaAg2
3990,0.0,YbH3O3
3991,0.0,ThPSe
3992,0.0,SmAg
3993,0.0,Cr10Sb3Te7
3994,0.0,ZrAl5Ni2
3995,0.0,ZrPd3
3996,0.0,Te2Au
3997,0.0,Sm6Br13
3998,0.0,Ba5Ge3
3999,0.0,La2Si5Rh3
4000,0.0,Nd2IrPd
4001,0.0,Ag7NO11
4002,0.0,V6PbO11
4003,0.0,Nd3Ge5
4004,0.0,ReIr3
4005,0.0,ZrNiSn
4006,0.0,MgAs4Rh6
4007,0.0,CeSbO3
4008,0.0,NdCo2Si2
4009,0.0,Nd5Ge4
4010,0.0,Rb3Mn
4011,0.0,Ba5Al2Ge7
4012,0.0,LiThAu2
4013,0.0,Sn5B2Rh6
4014,0.0,Tl2CdTe4
4015,0.0,EuCsF3
4016,0.0,YbNd3
4017,0.0,LiV3O4
4018,0.0,Ag3RuO4
4019,0.0,LiAlRh2
4020,0.0,LaAl4
4021,0.0,PrMo3
4022,0.0,KOs2O6
4023,0.0,Rb5Tl3O
4024,0.0,YCu3(WO3)4
4025,0.0,La5SmS8
4026,0.0,Eu2Ga9Rh3
4027,0.0,USi2Ni2
4028,0.0,RbMnTe2
4029,0.0,MnSbPd
4030,0.0,Ti13S24
4031,0.0,Sm2CuAs3O
4032,0.0,FePd2Se2
4033,0.0,SiBi3O7
4034,0.0,Al2Cu3Se6
4035,0.0,Sm2Pd2Pb
4036,0.0,CaZn3
4037,0.0,U2AlCo3
4038,0.0,LiSn4Ir
4039,0.0,PmSnRh2
4040,0.0,HfSiPt
4041,0.0,ScSi3Ni
4042,0.0,YHg2
4043,0.0,Ag9Ge2IO8
4044,0.0,U2Al3C4
4045,0.0,Li2Ni2SbO6
4046,0.0,Th2In
4047,0.0,Ti2NiH
4048,0.0,Te2MoWS2
4049,0.0,SrAl
4050,0.0,Ca3Sn2S7
4051,0.0,VCu3(PO4)4
4052,0.0,RbU2SbS8
4053,0.0,YMgGa
4054,0.0,Ni3Ge
4055,0.0,Ca6Cu2Sn7
4056,0.0,Co3W
4057,0.0,YbAgGe
4058,0.0,YSi2Ru2
4059,0.0,LaIn
4060,0.0,Re3F
4061,0.0,NdAgPb
4062,0.0,Sr2ZnReO6
4063,0.0,Mn3Cr3(TeO8)2
4064,0.0,Sc3Re2Si4
4065,0.0,GdNi2Ge2
4066,0.0,CaVO2
4067,0.0,ICl2
4068,0.0,Ba3Te
4069,0.0,NdSi2Ir2
4070,0.0,MnTcOs
4071,0.0,B5Mo2
4072,0.0,Zn3Cu
4073,0.0,Yb3Ti3O14
4074,0.0,Li2MnO2F
4075,0.0,Nd3Ni13B2
4076,0.0,InPt
4077,0.0,CuSeO3
4078,0.0,CaTiO2
4079,0.0,NaLi3
4080,0.0,VTc
4081,0.0,LiY(CuP)2
4082,0.0,LiMnP2O7
4083,0.0,U5Ge3
4084,0.0,YZn5
4085,0.0,Li4FeNi3O8
4086,0.0,NdMnSbO
4087,0.0,TiFe2Sb
4088,0.0,EuMg2Bi2
4089,0.0,KCuPO4
4090,0.0,PrLuIn2
4091,0.0,Rb2FeI4
4092,0.0,Ba3ZrRu2O9
4093,0.0,Gd3Al2Ni6
4094,0.0,LaAl12O19
4095,0.0,FePd3
4096,0.0,Na2Ti2Sb2O
4097,0.0,LiCa2Mg
4098,0.0,TiFeH2
4099,0.0,BaMnO3
4100,0.0,YDyAg2
4101,0.0,ReSn3
4102,0.0,Cu25Se26
4103,0.0,Ag2BBr
4104,0.0,HoCu4Pd
4105,0.0,CsIrO3
4106,0.0,Cs2Mo15S19
4107,0.0,Zr2CuS4
4108,0.0,Mn5Ge2
4109,0.0,KTm
4110,0.0,Fe2O2F3
4111,0.0,La2Ni5B4
4112,0.0,LaIn2Ir
4113,0.0,Cs5Mo21Se23
4114,0.0,Ti4ZnO8
4115,0.0,Yb5Au4
4116,0.0,Tl5Te3
4117,0.0,K2Mn3S4
4118,0.0,Sb2Te
4119,0.0,ZnSb3
4120,0.0,GaFeNi2
4121,0.0,Ho3Hg
4122,0.0,ErCu2Ge2
4123,0.0,CeBC
4124,0.0,V12P7
4125,0.0,LiMnO2
4126,0.0,Dy12Co7
4127,0.0,Sc5Pb3
4128,0.0,LiCu2Ge
4129,0.0,Cu3Se2(ClO3)2
4130,0.0,SmHoZn2
4131,0.0,LiCu3O3
4132,0.0,BaAs2Pd2
4133,0.0,Pm2PtAu
4134,0.0,CeInIr
4135,0.0,Dy2CuOs
4136,0.0,Y2C3
4137,0.0,NaZrCuTe3
4138,0.0,HoMgAu2
4139,0.0,La2B4Rh5
4140,0.0,CuCN2
4141,0.0,La4In5S13
4142,0.0,YB2C
4143,0.0,PW5O17
4144,0.0,RbC8
4145,0.0,YErRh2
4146,0.0,MnP2
4147,0.0,BSe2Cl
4148,0.0,LaV
4149,0.0,FeSn
4150,0.0,Nb3Te
4151,0.0,Lu7Ni2Te2
4152,0.0,MgSbF6
4153,0.0,Li2Ni3O6
4154,0.0,CrNiP2O9
4155,0.0,HoGe
4156,0.0,AgAu2S2
4157,0.0,ThRu3C
4158,0.0,Sn5B2Ir6
4159,0.0,Na2VCuF7
4160,0.0,NaTi5Se8
4161,0.0,Yb3Tc
4162,0.0,Cr2GeC
4163,0.0,HoTiGe
4164,0.0,Ca3Au4
4165,0.0,ZnIrO3
4166,0.0,HoCdCu4
4167,0.0,MgInAg2
4168,0.0,Cu23Sb8S26
4169,0.0,Lu2TlCd
4170,0.0,Ti2TcPd
4171,0.0,Na2SO4
4172,0.0,Al6Ru
4173,0.0,DyIr2
4174,0.0,Nb3Bi
4175,0.0,Mn3Al10
4176,0.0,ScCu2
4177,0.0,YbGa8Co2
4178,0.0,YbSi2Ag2
4179,0.0,CaTi4O8
4180,0.0,Na5Cu7O13
4181,0.0,TbFe4P12
4182,0.0,NdSb
4183,0.0,Sm4U4O17
4184,0.0,Ba3CaRu2O9
4185,0.0,LiSnAu
4186,0.0,DyZnRh2
4187,0.0,CoAsRh
4188,0.0,Sm2AgRu
4189,0.0,MnCu2Sn
4190,0.0,K3UF3
4191,0.0,Sm2AlCd
4192,0.0,Na2Cr7O14
4193,0.0,TlSn
4194,0.0,LuC2
4195,0.0,TlCoBi
4196,0.0,UAl3
4197,0.0,Er2Ga9Co3
4198,0.0,Nb3Ru
4199,0.0,FeP
4200,0.0,La2Pr2O7
4201,0.0,V2TcRu
4202,0.0,NdRe4Si2
4203,0.0,CaAg2Ge2
4204,0.0,HfCo2Si2
4205,0.0,LaSi2Ru
4206,0.0,Rb3Sm
4207,0.0,Si2Ni6B
4208,0.0,LiTlPd2
4209,0.0,Ga2NiS4
4210,0.0,CsTiCl3
4211,0.0,ZrNi4P2
4212,0.0,FeAg3(CN)6
4213,0.0,Bi2O5
4214,0.0,FeAs2O7
4215,0.0,Ce2SiSeO4
4216,0.0,PrFeGe2
4217,0.0,LiTiSiO4
4218,0.0,TbPt
4219,0.0,Tm2In
4220,0.0,YbRh2
4221,0.0,Sm3Al
4222,0.0,TmAu
4223,0.0,Sc2Al3Ru
4224,0.0,U3Se4
4225,0.0,Ce5Si3
4226,0.0,Pm2LiGa
4227,0.0,SmBPd3
4228,0.0,Mg5Ti13O30
4229,0.0,ZrSiTe
4230,0.0,HoNiGe
4231,0.0,LuSiIr
4232,0.0,KRuO4
4233,0.0,KAgF3
4234,0.0,Al9Ir2
4235,0.0,ZrRh
4236,0.0,SmCrGe3
4237,0.0,Ba2LiFe2N3
4238,0.0,Hf3Ni4Ge4
4239,0.0,Na3In2Au
4240,0.0,La2In
4241,0.0,P2H12N7Cl
4242,0.0,Nd3Ge2Ru2
4243,0.0,Ho4Ga16Co3
4244,0.0,Ta22Cu3S36
4245,0.0,Ti3PO7
4246,0.0,Te3MoWS
4247,0.0,TaF3
4248,0.0,YbSn2Pd
4249,0.0,LiLu2Ru
4250,0.0,Nb4Co2PdSe12
4251,0.0,Mg3Mn2Al18
4252,0.0,Pr2Ir2O7
4253,0.0,Li8PrO6
4254,0.0,DyInAu
4255,0.0,Yb2SrS4
4256,0.0,Sc4Ge6Rh7
4257,0.0,Na2In5Au6
4258,0.0,CeCo2As2
4259,0.0,EuPPt
4260,0.0,Co5Ge7
4261,0.0,HoMn6Sn6
4262,0.0,Li17Ti20O40
4263,0.0,YSiRu
4264,0.0,SmAu3
4265,0.0,SiHg3
4266,0.0,CdPt
4267,0.0,HoBi2O6
4268,0.0,PmCdPd2
4269,0.0,Tm2ZnGa
4270,0.0,Al2CoIr
4271,0.0,MgCo2(PO5)2
4272,0.0,Sn3P3O13
4273,0.0,ScTi9N9
4274,0.0,BaZn5
4275,0.0,Ge5Te8As2
4276,0.0,Hf3Sb
4277,0.0,Hf2Al3C4
4278,0.0,BaB2Rh2
4279,0.0,Zn3N2
4280,0.0,Ba2Ce2O5
4281,0.0,LiAl2Tc
4282,0.0,Zr2In5Ni
4283,0.0,LuUO3
4284,0.0,U2Zn17
4285,0.0,CeAgSn
4286,0.0,Ho2CuRh
4287,0.0,Ba2Cu5F14
4288,0.0,Sr2Cu(ClO)2
4289,0.0,YbLaZn2
4290,0.0,ZrNiGe
4291,0.0,Zr7Sb4
4292,0.0,DyGe2Ru2
4293,0.0,Mg2PdAu
4294,0.0,BaNi2P4
4295,0.0,RbNa2NiO2
4296,0.0,HoMgZn2
4297,0.0,Ba4Si20Au3
4298,0.0,HgPt
4299,0.0,Hf2S
4300,0.0,CrAs
4301,0.0,MgCuSn
4302,0.0,YbIn4Ni
4303,0.0,Sm2IrPd
4304,0.0,Dy2Sn5
4305,0.0,MgFe4O8
4306,0.0,LiLu2Tc
4307,0.0,ThSi2Ru2
4308,0.0,USeS
4309,0.0,Er2C3
4310,0.0,Pr3Al4Si6
4311,0.0,TmBRh3
4312,0.0,Li5Mn3(FeO5)2
4313,0.0,DySn3
4314,0.0,EuSbO3
4315,0.0,Tm3Ge4Pd4
4316,0.0,Li3Ni(SbO3)4
4317,0.0,DyFeSi
4318,0.0,Ta3P
4319,0.0,YbBa4(CuO3)3
4320,0.0,NdCo2Ge2
4321,0.0,Lu2Al3Co
4322,0.0,Yb3Al5O12
4323,0.0,CoMoP2
4324,0.0,Ce5CuSe8
4325,0.0,TbCo2B2
4326,0.0,ErRu3
4327,0.0,Al2Ru
4328,0.0,MnCdO2
4329,0.0,Rb3Ga
4330,0.0,U3Ni3Sn4
4331,0.0,TbAl8Fe4
4332,0.0,LuCdAg2
4333,0.0,Cr7C3
4334,0.0,BePd3
4335,0.0,LiAlB4
4336,0.0,LuBPd3
4337,0.0,Ca5Ir
4338,0.0,Ho2Au
4339,0.0,ThPd3
4340,0.0,Th6Mg23
4341,0.0,Ca3Ga2Pt2
4342,0.0,PrGaAu2
4343,0.0,Sm2In
4344,0.0,Mo3Pd2N
4345,0.0,Y2AlZn
4346,0.0,SmIn2Rh
4347,0.0,Na3W4O12
4348,0.0,Al9Rh2
4349,0.0,PH2NO2
4350,0.0,Li6Mn5FeO12
4351,0.0,CoH2(SN)4
4352,0.0,Ba3PN
4353,0.0,Zr5Al3C
4354,0.0,Li3Mn3WO8
4355,0.0,LiFe2(SiO4)2
4356,0.0,Sc6Te2Os
4357,0.0,NaBi3
4358,0.0,TmCu2S2
4359,0.0,Ce2Al2Co15
4360,0.0,LaSi2Ru2
4361,0.0,AgW6Br14
4362,0.0,Ba3Co10O17
4363,0.0,LuScRh2
4364,0.0,LaBPt3
4365,0.0,Li5Mn5(SbO6)2
4366,0.0,Be12Pt
4367,0.0,LaZnAu2
4368,0.0,CsScBr3
4369,0.0,ErSiPd
4370,0.0,SmSnPd
4371,0.0,Hg2Rh
4372,0.0,Eu2BaMn2O7
4373,0.0,Mg2GeB2Rh5
4374,0.0,KHg11
4375,0.0,NdSmHg2
4376,0.0,PrInAu2
4377,0.0,Li3Co4O8
4378,0.0,CdRhF6
4379,0.0,UCo2Ge2
4380,0.0,Tb3Ge5
4381,0.0,Yb2HgPb
4382,0.0,YSi2Cu2
4383,0.0,Li4VF7
4384,0.0,MgIn3
4385,0.0,CeMg2Ag
4386,0.0,KNb2Se
4387,0.0,Fe4O7F
4388,0.0,EuCu9Sn4
4389,0.0,La2CuO4
4390,0.0,CaCo4S8
4391,0.0,MnCoSi
4392,0.0,GdGeRu
4393,0.0,Al10V
4394,0.0,EuPd
4395,0.0,YbMn2As2
4396,0.0,Ni23B6
4397,0.0,Gd2AlCo2
4398,0.0,U2Cr30P19
4399,0.0,YbI3O9
4400,0.0,BiAs2Os
4401,0.0,Yb4Ba3O9
4402,0.0,ZnFe2N2
4403,0.0,Zr6NiCl15
4404,0.0,Er5Si3
4405,0.0,Hg2Sb2O7
4406,0.0,Co5RuO8
4407,0.0,ScGe2
4408,0.0,Li3Si3Ag2
4409,0.0,Dy4CdRh
4410,0.0,BeGaRh2
4411,0.0,Ba3NaIrO6
4412,0.0,ScZn2
4413,0.0,Mg3Rh
4414,0.0,Sr3Sn4Ir4
4415,0.0,TiMn2Ge
4416,0.0,Sc6FeSb2
4417,0.0,Pm2LiAl
4418,0.0,Hf2Fe
4419,0.0,Cr3Ni(PO4)6
4420,0.0,PrAu
4421,0.0,TmMgAg2
4422,0.0,Ho5Ge10Rh4
4423,0.0,SrNi2(PO4)2
4424,0.0,TaAl3
4425,0.0,CeB2Ir3
4426,0.0,Hf6PbO18
4427,0.0,LiLa2IrO6
4428,0.0,FeCo2Si
4429,0.0,Ca2CdPb
4430,0.0,YAlGe
4431,0.0,ZrAlRu2
4432,0.0,YbBO3
4433,0.0,In11Cu9Se20
4434,0.0,TmIn3
4435,0.0,UGeRh
4436,0.0,MgTi11O20
4437,0.0,TbNi4P2
4438,0.0,TmAu2
4439,0.0,YbSi2Ni
4440,0.0,HoSb2
4441,0.0,AlFe2Si
4442,0.0,Li3Mn2CuO6
4443,0.0,Li7Mo12S16
4444,0.0,V5SiB2
4445,0.0,ThIr5
4446,0.0,Li2Fe3NiO8
4447,0.0,Tb2Ti3Ge4
4448,0.0,TiCoSn
4449,0.0,Hf5Te4
4450,0.0,Y3GaCo3
4451,0.0,Ge3Sb
4452,0.0,SmSb2
4453,0.0,Dy12C6I17
4454,0.0,Ti2TcNi
4455,0.0,TbP
4456,0.0,Sr8Mn3N9
4457,0.0,LiZr2Os
4458,0.0,Mg3Al9FeSi5
4459,0.0,Co3H
4460,0.0,Tb3Mn2C6
4461,0.0,U11O5
4462,0.0,ThMn2Ge2
4463,0.0,TaNiB2
4464,0.0,TmBPd3
4465,0.0,Ti2Cd
4466,0.0,Ba3Al2Ge2
4467,0.0,DyZrSb
4468,0.0,Ti11O18
4469,0.0,Tb2AlCo2
4470,0.0,Zn2Sb3O8
4471,0.0,YH2
4472,0.0,Nb3In
4473,0.0,Li2PrP2
4474,0.0,LaAl4Co
4475,0.0,Ba3N2
4476,0.0,SrCuBi
4477,0.0,Yb11Ni60C6
4478,0.0,NaAsO3
4479,0.0,Li3Cu4NiO8
4480,0.0,TbSnAu
4481,0.0,USbSe
4482,0.0,LiMnSiO4
4483,0.0,RbTiBr3
4484,0.0,Ti3Fe3O
4485,0.0,Te2Pd3Pb2
4486,0.0,Li4Fe3NiO8
4487,0.0,Hf2MnIr
4488,0.0,ZrW2
4489,0.0,Ti3Cu3O
4490,0.0,La2Sn5Rh3
4491,0.0,Mn2GaW
4492,0.0,CaZn5
4493,0.0,Ag2P2PbO7
4494,0.0,RbHg3
4495,0.0,Li23Mn20As20
4496,0.0,UFe5Si3
4497,0.0,Hf5Sn4
4498,0.0,Li3Ni2(GeO4)3
4499,0.0,Fe6O7F5
4500,0.0,HoB2Rh3
4501,0.0,LiSn(PO3)4
4502,0.0,Ti4O5
4503,0.0,Ni2Mo4N
4504,0.0,PrIn
4505,0.0,YNi4B
4506,0.0,LiZn(Fe5O8)2
4507,0.0,Nb5Ge3
4508,0.0,Ba2ReNiO6
4509,0.0,SmTh3
4510,0.0,CrIrO4
4511,0.0,CuPd
4512,0.0,YMg4Cu
4513,0.0,Ho3Ge5
4514,0.0,HfFe2
4515,0.0,LuAl2Pd5
4516,0.0,Na19Zr11S30
4517,0.0,Li2CuF6
4518,0.0,Sm4MgRh
4519,0.0,Zn8Ag5
4520,0.0,Cu3Bi4I16
4521,0.0,TbInAg2
4522,0.0,W3O7F
4523,0.0,YbAl3
4524,0.0,Lu2CdAg
4525,0.0,HoAlAu2
4526,0.0,LaP3
4527,0.0,LaScSi
4528,0.0,U2Re2C3
4529,0.0,Na5Fe6(SiO3)12
4530,0.0,HgIrO3
4531,0.0,TbNiGe2
4532,0.0,V2Sb(PO4)3
4533,0.0,ErPbAu
4534,0.0,Hf2Hg
4535,0.0,Ca3BiSb
4536,0.0,CsWCl6
4537,0.0,TiGaIr2
4538,0.0,HoB4
4539,0.0,LiTm2Ru
4540,0.0,Ti2CoGe
4541,0.0,Tm3GaC
4542,0.0,Nd4O3F7
4543,0.0,LiCa2Ga
4544,0.0,LaFe4As12
4545,0.0,Ho3AlC
4546,0.0,CaB2C2
4547,0.0,YSi2Pt2
4548,0.0,Sc2FeB2Ir5
4549,0.0,U3Bi4
4550,0.0,EuSnO3
4551,0.0,EuMn2Ge2
4552,0.0,EuNi12B6
4553,0.0,NdErTl2
4554,0.0,MnCu3
4555,0.0,LiAlGe
4556,0.0,ZrHCl
4557,0.0,SrAg
4558,0.0,YbAl2Ga2
4559,0.0,Nb2Sb
4560,0.0,Ba2LaIrO6
4561,0.0,MgScAg2
4562,0.0,Fe10O9F11
4563,0.0,YbAl2Ge2
4564,0.0,TmSb
4565,0.0,TiV4CuO12
4566,0.0,RbTmO3
4567,0.0,Ce8U2O21
4568,0.0,Dy2ZnIn
4570,0.0,ZnCrO2
4571,0.0,Li2Ti3FeO8
4572,0.0,Sc3BPb
4573,0.0,TaCoSn2
4574,0.0,TiTc2Sb
4575,0.0,Li3V12O29
4576,0.0,Nd2CdIn
4577,0.0,Na8PO3
4578,0.0,BeFe2Si
4579,0.0,CuP2(HO3)2
4580,0.0,U2Ti
4581,0.0,DyAgHg2
4582,0.0,Al4Cu2O7
4583,0.0,CeSI
4584,0.0,BaMn4ZnO8
4585,0.0,Ce2Fe17
4586,0.0,HoTiO3
4587,0.0,Zr3Al4C6
4588,0.0,Li7Ni11O22
4589,0.0,Cr2HgSe4
4590,0.0,Ho5Si4
4591,0.0,CeCo4B4
4592,0.0,Li2LaTl
4593,0.0,TbNiO3
4594,0.0,Ga3Pt2
4595,0.0,Mn3V2(SiO4)3
4596,0.0,LaMg(FeO3)2
4597,0.0,YbGeRh
4598,0.0,CaCu5
4599,0.0,SmC10
4600,0.0,ThSi2Ru3
4601,0.0,Zr3Hg
4602,0.0,Ga9Rh2
4603,0.0,CaInAu
4604,0.0,Nb3IrSe8
4605,0.0,UCoSi
4606,0.0,DyBiPd
4607,0.0,LaIn4Au2
4608,0.0,LiAl3
4609,0.0,EuZn2Ge2
4610,0.0,VAg(PSe3)2
4611,0.0,Y2Fe2Si2C
4612,0.0,La3ZrSb5
4613,0.0,Sr2GeN2
4614,0.0,VFeRu2
4615,0.0,U4N7
4616,0.0,Al6Fe
4617,0.0,Cs2SeClF6
4618,0.0,Hf5Si4
4619,0.0,MnCo4O8
4620,0.0,LiMg2Ag
4621,0.0,Ba3Nb2CoO9
4622,0.0,Na2LiTa
4623,0.0,CaNi5
4624,0.0,Yb23Mg4Cu7
4625,0.0,CdAg
4626,0.0,PrGeAu
4627,0.0,KNb2O5
4628,0.0,LaHg
4629,0.0,V3Si
4630,0.0,ScAlNi2
4631,0.0,Sm3Zr
4632,0.0,ZnWO2
4633,0.0,Zr2HBr2
4634,0.0,InPt3C
4635,0.0,BaLa2CoS5
4636,0.0,SrZnSb2
4637,0.0,Ta6Ni16Ge7
4638,0.0,Ca5Au2
4639,0.0,Rb2NaVF6
4640,0.0,Hf54Os17
4641,0.0,Rb4Si2CuO7
4642,0.0,HoCd
4643,0.0,Cd2PbO4
4644,0.0,SrSbAu
4645,0.0,Na3Re
4646,0.0,Mg4Sc3(SiO3)8
4647,0.0,Li5Co2O2F5
4648,0.0,SmHgPd
4649,0.0,NaFe2(SiO3)4
4650,0.0,BeCu
4651,0.0,PrSm3
4652,0.0,YbZnAu2
4653,0.0,InSiTe3
4654,0.0,HgPt3
4655,0.0,Yb2InPd2
4656,0.0,Li11Mn13O32
4657,0.0,YScO2
4658,0.0,Sb2XeF14
4659,0.0,LiNiP2O7
4660,0.0,AlSn
4661,0.0,Li3C
4662,0.0,VP
4663,0.0,ZrSe
4664,0.0,RbPdF3
4665,0.0,DyInCu2
4666,0.0,Zr5Sb3
4667,0.0,La2PdO4
4668,0.0,ZrInRh2
4669,0.0,TiAl
4670,0.0,Li2CrCo3O8
4671,0.0,Er2Mg3Ru
4672,0.0,YbTlS2
4673,0.0,Li2Fe3SnO8
4674,0.0,NdFeSi2
4675,0.0,NiGePt2
4676,0.0,Dy2MgTl
4677,0.0,YbCaInSe4
4678,0.0,PrCo2Ge2
4679,0.0,Sm2IO2
4680,0.0,NdMg2Ni9
4681,0.0,TbCu5
4682,0.0,YAgO3
4683,0.0,Be2HgTe
4684,0.0,AlIr
4685,0.0,CsInI3
4686,0.0,Tl3Cr
4687,0.0,ZrSi2
4688,0.0,Zn2Ni9O13
4689,0.0,CoP4O12
4690,0.0,Pr5In11Ni6
4691,0.0,Li8Ti16CuS32
4692,0.0,NdMg2
4693,0.0,La3Ge3Br2
4694,0.0,Sr2Li2Nb3O10
4695,0.0,Li2Si4Ni5O14
4696,0.0,HoCo3
4697,0.0,YbPr11Se16
4698,0.0,Sm3OsO7
4699,0.0,Al4Cu9
4700,0.0,LiGaAu2
4701,0.0,Zn2BIr2
4702,0.0,TmCu4Ag
4703,0.0,BaSi
4704,0.0,Mg2CrN2
4705,0.0,CeTlZn
4706,0.0,Eu2CaO3
4707,0.0,TmMg2Sc
4708,0.0,CuN2O6
4709,0.0,Sm5Br11
4710,0.0,Hf3P
4711,0.0,Ti2C
4712,0.0,NaHg
4713,0.0,AgGeO3
4714,0.0,UFeSi
4715,0.0,ErAl20Cr2
4716,0.0,Ba6In2NF
4717,0.0,U4S3
4718,0.0,Tl3Ir
4719,0.0,Ce4Bi3
4720,0.0,NiI
4721,0.0,Pm3I
4722,0.0,Pm2IrRh
4723,0.0,TmCoSi2
4724,0.0,SbPd3
4725,0.0,Yb2Ce8O19
4726,0.0,Li6Ni5O10
4727,0.0,Ho3Ni19B10
4728,0.0,BePd2
4729,0.0,Ni2Ge
4730,0.0,Mn5O7
4731,0.0,YCo2
4732,0.0,Li7Ti5O12
4733,0.0,RbCuPdF5
4734,0.0,BaTl3
4735,0.0,SmSnRh2
4736,0.0,EuCuSeO
4737,0.0,NdSbPd
4738,0.0,YbH2ClO2
4739,0.0,U4Re7Si6
4740,0.0,MgTi4S8
4741,0.0,TaGaPt
4742,0.0,SmCuO3
4743,0.0,CoPbO3
4744,0.0,Li2Cu2S3
4745,0.0,Pd16S7
4746,0.0,HoSi
4747,0.0,TaPt3
4748,0.0,Si4Cu5O14
4749,0.0,CdPd
4750,0.0,Tm2ZnOs
4751,0.0,SmCdHg2
4752,0.0,CaZn3Ni2
4753,0.0,Pm2LiSi
4754,0.0,TiZn3
4755,0.0,Eu2ReO5
4756,0.0,PmDy3
4757,0.0,HfGaCo2
4758,0.0,BaNb4O6
4759,0.0,DyGe
4760,0.0,DyRh
4761,0.0,Ti2BRh6
4762,0.0,Ba8Ta7O24
4763,0.0,RbF3
4764,0.0,TmAlCu
4765,0.0,FeRhO3
4766,0.0,NbGaCo2
4767,0.0,CaHg2
4768,0.0,PmCd3
4769,0.0,Ti2CoS4
4770,0.0,Mg3Ge
4771,0.0,K3LiNb6O15
4772,0.0,Ba2FeReO6
4773,0.0,UAl8Fe4
4774,0.0,LiCu3F7
4775,0.0,Bi2Pt
4776,0.0,LiV2NiO6
4777,0.0,Si2Ru
4778,0.0,Fe3B
4779,0.0,SnSb3(PO4)4
4780,0.0,CsMnSb
4781,0.0,VZnRu2
4782,0.0,Cu6PbO8
4783,0.0,La3AlN
4784,0.0,Pr3I
4785,0.0,LiMo3O8
4786,0.0,Dy3Cu4Ge4
4787,0.0,Sr5Bi3
4788,0.0,AlNi2
4789,0.0,MgV4O6
4790,0.0,DyS2
4791,0.0,YbLi2Pb
4792,0.0,Pr2InPd2
4793,0.0,TbGa
4794,0.0,EuTl
4795,0.0,ZrRe2
4796,0.0,CsNb6I11
4797,0.0,HoInAu2
4798,0.0,Li2MnCo3O8
4799,0.0,Li3Dy
4800,0.0,K4C2O3
4801,0.0,NdSnRh
4802,0.0,HoCd3
4803,0.0,TiOs3
4804,0.0,Nb3Fe20B6
4805,0.0,YbPO4
4806,0.0,Y3Al3NiGe2
4807,0.0,Nb2Co3O9
4808,0.0,HfTl3
4809,0.0,HfNi5
4810,0.0,SrLa3MnO8
4811,0.0,CaGa3Ni2
4812,0.0,NdTe
4813,0.0,Eu2CuO4
4814,0.0,Nb3V(PO4)6
4815,0.0,YbLa5S8
4816,0.0,TiPd
4817,0.0,ScZn3
4818,0.0,HoSb2O6
4819,0.0,CsCaO3
4820,0.0,Li13Nb14ZnO42
4821,0.0,LuPt3
4822,0.0,PrIr2
4823,0.0,V3Pt
4824,0.0,SrB2
4825,0.0,Tl8Os8O27
4826,0.0,Bi12Rh12O41
4827,0.0,Sm3Sb14Te24
4828,0.0,PrTmTl2
4829,0.0,Li3V4FeO12
4830,0.0,Na11Bi5O16
4831,0.0,Ca2PbAu2
4832,0.0,Hf3Si4Cu4
